date,name,ticker,open,high,low,close,volume
2026-05-07,USD_KRW,KRW=X,1445.58,1454.78,1445.01,1450.86,0
2026-05-07,EUR_KRW,EURKRW=X,1697.9,1708.6,1697.5,1706.2,0
2026-05-07,JPY_KRW,JPYKRW=X,9.228,9.275,9.22,9.255,0
2026-05-07,CNY_KRW,CNYKRW=X,212.269,213.669,212.269,213.33,0
2026-05-07,GBP_KRW,GBPKRW=X,1963.11,1976.25,1962.73,1973.58,0
2026-05-07,DXY,DX-Y.NYB,98.029,98.058,97.815,97.902,0
2026-05-08,USD_KRW,KRW=X,1454.36,1471.38,1454.36,1461.78,0
2026-05-08,EUR_KRW,EURKRW=X,1704.8,1727.1,1704.8,1721.9,0
2026-05-08,JPY_KRW,JPYKRW=X,9.248,9.355,9.248,9.319,0
2026-05-08,CNY_KRW,CNYKRW=X,214.086,216.24,214.086,215.072,0
2026-05-08,GBP_KRW,GBPKRW=X,1969.27,1996.9301,1969.27,1990.2,0
2026-05-08,DXY,DX-Y.NYB,98.245,98.277,97.829,97.855,0
2026-05-09,USD_KRW,KRW=X,1454.36,1471.38,1454.36,1461.48,0
2026-05-09,EUR_KRW,EURKRW=X,1704.8,1727.1,1704.8,1721.8,0
2026-05-09,JPY_KRW,JPYKRW=X,9.248,9.355,9.248,9.306,0
2026-05-09,CNY_KRW,CNYKRW=X,214.086,216.24,214.086,214.976,0
2026-05-09,GBP_KRW,GBPKRW=X,1969.27,1996.9301,1969.27,1990.38,0
2026-05-09,DXY,DX-Y.NYB,98.25,98.28,97.83,97.84,0
2026-05-11,USD_KRW,KRW=X,1461.48,1476.62,1461.3,1470.4399,0
2026-05-11,EUR_KRW,EURKRW=X,1717.0,1735.3,1716.0,1732.0,0
2026-05-11,JPY_KRW,JPYKRW=X,9.309,9.375,9.292,9.344,0
2026-05-11,CNY_KRW,CNYKRW=X,214.976,217.348,214.976,216.463,0
2026-05-11,GBP_KRW,GBPKRW=X,1990.75,2005.21,1978.53,2002.7,0
2026-05-11,DXY,DX-Y.NYB,98.036,98.153,97.85,97.857,0
2026-05-12,USD_KRW,KRW=X,1475.3101,1492.27,1472.1899,1490.2,0
2026-05-12,EUR_KRW,EURKRW=X,1737.7,1751.5,1737.0,1746.7,0
2026-05-12,JPY_KRW,JPYKRW=X,9.365,9.442,9.361,9.429,0
2026-05-12,CNY_KRW,CNYKRW=X,218.703,219.595,218.348,219.474,0
2026-05-12,GBP_KRW,GBPKRW=X,2005.45,2019.24,2005.45,2012.6899,0
2026-05-12,DXY,DX-Y.NYB,97.963,98.413,97.951,98.353,0
2026-05-13,USD_KRW,KRW=X,1492.2,1499.58,1485.78,1489.77,0
2026-05-13,EUR_KRW,EURKRW=X,1751.0,1758.4,1740.6,1743.8,0
2026-05-13,JPY_KRW,JPYKRW=X,9.448,9.484,9.405,9.417,0
2026-05-13,CNY_KRW,CNYKRW=X,220.133,220.698,219.037,219.569,0
2026-05-13,GBP_KRW,GBPKRW=X,2018.47,2027.1,2007.66,2011.49,0
2026-05-13,DXY,DX-Y.NYB,98.309,98.598,98.264,98.497,0
2026-05-14,USD_KRW,KRW=X,1489.75,1493.98,1487.95,1490.6801,0
2026-05-14,EUR_KRW,EURKRW=X,1744.8,1749.0,1742.4,1743.1,0
2026-05-14,JPY_KRW,JPYKRW=X,9.416,9.439,9.406,9.423,0
2026-05-14,CNY_KRW,CNYKRW=X,219.395,220.21,219.377,219.871,0
2026-05-14,GBP_KRW,GBPKRW=X,2012.61,2018.28,2009.95,2012.13,0
2026-05-14,DXY,DX-Y.NYB,98.463,98.7,98.416,98.637,0
2026-05-15,USD_KRW,KRW=X,1492.6,1507.38,1491.97,1500.71,0
2026-05-15,EUR_KRW,EURKRW=X,1740.6,1751.0,1740.2,1743.9,0
2026-05-15,JPY_KRW,JPYKRW=X,9.403,9.467,9.4,9.435,0
2026-05-15,CNY_KRW,CNYKRW=X,220.063,221.342,219.905,220.517,0
2026-05-15,GBP_KRW,GBPKRW=X,1998.37,2007.08,1996.1801,2000.0699,0
2026-05-15,DXY,DX-Y.NYB,98.929,99.294,98.923,99.264,0
2026-05-16,USD_KRW,KRW=X,1497.76,1497.76,1497.76,1497.76,0
2026-05-16,CNY_KRW,CNYKRW=X,220.03,220.03,220.03,220.03,0
2026-05-17,USD_KRW,KRW=X,1497.76,1497.76,1497.76,1497.76,0
2026-05-17,CNY_KRW,CNYKRW=X,220.03,220.03,220.03,220.03,0
2026-05-18,USD_KRW,KRW=X,1497.76,1506.71,1492.88,1495.92,0
2026-05-18,EUR_KRW,EURKRW=X,1739.2,1749.3,1738.4,1741.1,0
2026-05-18,JPY_KRW,JPYKRW=X,9.421,9.46,9.383,9.397,0
2026-05-18,CNY_KRW,CNYKRW=X,220.03,221.044,219.742,220.158,0
2026-05-18,GBP_KRW,GBPKRW=X,1993.86,2004.02,1991.99,2002.46,0
2026-05-18,DXY,DX-Y.NYB,99.278,99.409,98.98,99.13,0
2026-05-19,USD_KRW,KRW=X,1488.38,1513.08,1487.95,1509.1801,0
2026-05-19,EUR_KRW,EURKRW=X,1734.8,1755.1,1734.1,1749.2,0
2026-05-19,JPY_KRW,JPYKRW=X,9.353,9.48,9.347,9.462,0
2026-05-19,CNY_KRW,CNYKRW=X,218.942,222.312,218.942,221.492,0
2026-05-19,GBP_KRW,GBPKRW=X,1997.33,2022.8101,1997.29,2019.46,0
2026-05-19,DXY,DX-Y.NYB,98.965,99.434,98.965,99.397,0
